OT;NV/GOM;DIRECCION;CONTRATISTA;COMUNA;ZONAL;ITO;FECHA_INSPECCION;TIPO_TRABAJO;SUPERVISOR;HAY HALLAZGO;INCIDENCIA;NOMBRE DE INCIDENCIA;TIPO;HALLAZGO;OBSERVACION;TOTAL_HALLAZGO;MES;AÑO;TIPO_OBRA
177132;ID;AV. DEPARTAMENTAL 1475;BUREAU VERITAS (ESPECTRO);LA FLORIDA;FLORIDA;JAVIER INOSTROZA;17-02-2021;SUBTERRÁNEA;LUIS DIAZ;NO;;;;CAMARA DM-2200 CON TIERRAS DE SERVICIO CON EL LARGO INSUFICIENTE PARA REALIZAR LA CONECCION A LA BARRA;;0;FEBRERO;2021;OO.CC
177132;ID;AV. DEPARTAMENTAL 1475;BUREAU VERITAS (ESPECTRO);LA FLORIDA;FLORIDA;JAVIER INOSTROZA;17-02-2021;SUBTERRÁNEA;LUIS DIAZ;NO;;;;AMBAS CAMARAS CON BOQUILLAS SIN TERMINAR;;0;FEBRERO;2021;OO.CC
177132;ID;AV. DEPARTAMENTAL 1475;BUREAU VERITAS (ESPECTRO);LA FLORIDA;FLORIDA;JAVIER INOSTROZA;17-02-2021;SUBTERRÁNEA;LUIS DIAZ;NO;;;;CAMARA CON MARCO Y TAPA DESNIVELADA;;0;FEBRERO;2021;OO.CC
2862312;NV;URUGUAY 9065;BUREAU VERITAS;LA FLORIDA;FLORIDA;JOAN DIAZ ;08-03-2021;SUBTERRÁNEA;LEONARDO MARKIC;NO;;;;SE DEBE MEJORAR NIVELACION DE PISO, SE DEBE DAR UNA PENDIENTE DE 0,8%;;0;MARZO;2021;OO.CC
2862312;NV;URUGUAY 9065;BUREAU VERITAS;LA FLORIDA;FLORIDA;JOAN DIAZ ;08-03-2021;SUBTERRÁNEA;LEONARDO MARKIC;NO;;;;SE DEBE MEJORAR DRENAJE DE CAMARA;;0;MARZO;2021;OO.CC
2860600;NV;QUILIN NORTE S/N;CRILLON;PEÑALOLÉN;FLORIDA;JOAN DIAZ ;11-03-2021;SUBTERRÁNEA;MANUEL ARENAS;NO;;;;SE DEBE MEJORAR UNION DE ALBAÑERIA CON MARCO DE CAMARA DM- 22018;;0;MARZO;2021;OO.CC
2860600;NV;QUILIN NORTE S/N;CRILLON;PEÑALOLÉN;FLORIDA;JOAN DIAZ ;11-03-2021;SUBTERRÁNEA;MANUEL ARENAS;NO;;;;DSE DEBE REALIZAR REMATES EN CUELLO DE CAMARA DM 2200-C1;;0;MARZO;2021;OO.CC
2860600;NV;QUILIN NORTE S/N;CRILLON;PEÑALOLÉN;FLORIDA;JOAN DIAZ ;11-03-2021;SUBTERRÁNEA;MANUEL ARENAS;NO;;;;SE DEBE REALIZAR REMATES EN CUELLO DE CAMARA DM-2200-C2;;0;MARZO;2021;OO.CC
2860600;NV;QUILIN NORTE S/N;CRILLON;PEÑALOLÉN;FLORIDA;JOAN DIAZ ;11-03-2021;SUBTERRÁNEA;MANUEL ARENAS;NO;;;;FALTA MARCO Y REJILLA DE DRENAJE CAMARA DM-2200-C2;;0;MARZO;2021;OO.CC
86220;ID;JOSE URETA 139;BUREAU VERITAS (SIISTEC);LA CISTERNA;FLORIDA;JOAN DIAZ ;16-03-2021;SUBTERRÁNEA;MANUEL LAZO;NO;;;;;;0;MARZO;2021;OO.CC
